"HyperLynx Oscilloscope .CSV file"

"Design file: IFA_ESP32.HYP         Designer: Joshua Anthony"
"Created on: 08 March 2025   Time: 09:25:40"
"Created by: HyperLynx VX2.10 build 19246144"
"Comment: "
"Probe 1: U2.1 (at pin)"
"Probe 2: ANT1.1 (at pin)"
"Probe 3: C16.2 (at pin)"
"Probe 4: C18.2 (at pin)"
"Probe 5: L3.1 (at pin)"
"Probe 6: L3.2 (at pin)"
"","Time","Probe V V [U2.1 (at pin)]","Probe V V [ANT1.1 (at pin)]","Probe V V [C16.2 (at pin)]","Probe V V [C18.2 (at pin)]","Probe V V [L3.1 (at pin)]","Probe V V [L3.2 (at pin)]"
"","  58.6627591e-10","5.006012","9.999903e-09","5.007821","5.006569","5.007624","5.006791"
"","  59.6404703e-10","5.003421","9.999903e-09","5.003935","5.003592","5.003881","5.003654"
"","  60.6181816e-10","5.000657","9.999903e-09","4.999978","5.000473","5.000055","5.000385"
"","  61.5958973e-10","4.998195","9.999903e-09","4.996603","4.997735","4.996781","4.997535"
"","  62.5736085e-10","4.996377","9.999903e-09","4.994255","4.995754","4.994491","4.995489"
"","  63.5513198e-10","4.995394","9.999903e-09","4.993155","4.99473","4.993402","4.994451"
"","  64.5290354e-10","4.995286","9.999903e-09","4.993303","4.994692","4.993522","4.994446"
"","  65.5067467e-10","4.995955","9.999903e-09","4.99451","4.995517","4.994668","4.995338"
"","  66.4844579e-10","4.997168","9.999903e-09","4.996413","4.996934","4.996495","4.996841"
"","  67.4621736e-10","4.998658","9.999903e-09","4.998614","4.998634","4.998617","4.99863"
"","  68.4398849e-10","5.000149","9.999903e-09","5.000722","5.00031","5.000658","5.000383"
"","  69.4175961e-10","5.001402","9.999903e-09","5.002407","5.001694","5.002295","5.00182"
"","  70.3953118e-10","5.002254","9.999903e-09","5.003469","5.002613","5.003335","5.002764"
"","  71.3730230e-10","5.00263","9.999903e-09","5.003833","5.002988","5.0037","5.003138"
"","  72.3507343e-10","5.002533","9.999903e-09","5.003534","5.002834","5.003424","5.002958"
"","  73.3284500e-10","5.002048","9.999903e-09","5.002717","5.002252","5.002644","5.002335"
"","  74.3061612e-10","5.001311","9.999903e-09","5.001591","5.0014","5.001561","5.001434"
"","  75.2838769e-10","5.000473","9.999903e-09","5.000376","5.00045","5.000388","5.000437"
"","  76.2615837e-10","4.999684","9.999903e-09","4.999279","4.999568","4.999324","4.999516"
"","  77.2392994e-10","4.999061","9.999903e-09","4.998456","4.998884","4.998524","4.998808"
"","  78.2170151e-10","4.998678","9.999903e-09","4.997999","4.998477","4.998074","4.998392"
"","  79.1947219e-10","4.998561","9.999903e-09","4.997925","4.998371","4.997995","4.998291"
"","  80.1724376e-10","4.998693","9.999903e-09","4.998197","4.998543","4.998251","4.998482"
"","  81.1501533e-10","4.999015","9.999903e-09","4.998717","4.998923","4.998749","4.998887"
"","  82.1278601e-10","4.999447","9.999903e-09","4.999367","4.99942","4.999375","4.99941"
"","  83.1055758e-10","4.999906","9.999903e-09","5.000025","4.999938","5.000011","4.999954"
"","  84.0832826e-10","5.000314","9.999903e-09","5.000583","5.000392","5.000553","5.000426"
"","  85.0609982e-10","5.000614","9.999903e-09","5.000968","5.000718","5.000929","5.000762"
"","  86.0387139e-10","5.000773","9.999903e-09","5.001145","5.000884","5.001104","5.00093"
"","  87.0164207e-10","5.000788","9.999903e-09","5.001116","5.000886","5.00108","5.000927"
"","  87.9941364e-10","5.000674","9.999903e-09","5.000911","5.000745","5.000885","5.000775"
"","  88.9718521e-10","5.00047","9.999903e-09","5.000592","5.000508","5.000579","5.000523"
"","  89.9495589e-10","5.00022","9.999903e-09","5.000226","5.000224","5.000226","5.000224"
"","  90.9272746e-10","4.999972","9.999903e-09","4.999876","4.999944","4.999886","4.999932"
"","  91.9049903e-10","4.999763","9.999903e-09","4.999596","4.999715","4.999615","4.999694"
"","  92.8826971e-10","4.999623","9.999903e-09","4.99942","4.999563","4.999443","4.999538"
"","  93.8604128e-10","4.999561","9.999903e-09","4.999361","4.999502","4.999383","4.999477"
"","  94.8381285e-10","4.999578","9.999903e-09","4.999412","4.999528","4.99943","4.999507"
"","  95.8158353e-10","4.99966","9.999903e-09","4.999549","4.999626","4.999561","4.999612"
"","  96.7935510e-10","4.999782","9.999903e-09","4.999737","4.999768","4.999742","4.999762"
"","  97.7712666e-10","4.999921","9.999903e-09","4.999938","4.999925","4.999937","4.999928"
"","  98.7489734e-10","5.000051","9.999903e-09","5.00012","5.000071","5.000113","5.00008"
"","  99.7266891e-10","5.000154","9.999903e-09","5.000256","5.000184","5.000244","5.000196"
""," 100.7044048e-10","5.000216","9.999903e-09","5.000329","5.00025","5.000317","5.000264"
""," 101.6821116e-10","5.000235","9.999903e-09","5.00034","5.000266","5.000328","5.000279"
""," 102.6598273e-10","5.000212","9.999903e-09","5.000293","5.000236","5.000284","5.000246"
""," 103.6375430e-10","5.000157","9.999903e-09","5.000206","5.000172","5.0002","5.000178"
""," 104.6152498e-10","5.000084","9.999903e-09","5.000097","5.000089","5.000095","5.00009"
""," 105.5929655e-10","5.000008","9.999903e-09","4.999988","5.000002","4.99999","5"
""," 106.5706812e-10","4.99994","9.999903e-09","4.999895","4.999927","4.9999","4.999921"
""," 107.5483880e-10","4.99989","9.999903e-09","4.999831","4.999873","4.999837","4.999865"
""," 108.5261037e-10","4.999864","9.999903e-09","4.999802","4.999846","4.999809","4.999838"
""," 109.5038193e-10","4.999862","9.999903e-09","4.999807","4.999846","4.999813","4.999839"
""," 110.4815261e-10","4.999881","9.999903e-09","4.999842","4.999869","4.999846","4.999864"
""," 111.4592418e-10","4.999915","9.999903e-09","4.999895","4.999908","4.999897","4.999906"
""," 112.4369575e-10","4.999957","9.999903e-09","4.999956","4.999956","4.999956","4.999956"
""," 113.4146643e-10","4.999998","9.999903e-09","5.000014","5.000002","5.000012","5.000004"
""," 114.3923800e-10","5.000032","9.999903e-09","5.00006","5.00004","5.000057","5.000043"
""," 115.3700957e-10","5.000055","9.999903e-09","5.000089","5.000065","5.000085","5.000069"
""," 116.3478025e-10","5.000065","9.999903e-09","5.000098","5.000075","5.000094","5.000079"
""," 117.3255182e-10","5.000062","9.999903e-09","5.00009","5.00007","5.000086","5.000073"
""," 118.3032250e-10","5.000048","9.999903e-09","5.000066","5.000054","5.000064","5.000056"
""," 119.2809407e-10","5.000028","9.999903e-09","5.000035","5.00003","5.000034","5.000031"
""," 120.2586564e-10","5.000005","9.999903e-09","5.000001","5.000004","5.000002","5.000003"
""," 121.2363632e-10","4.999983","9.999903e-09","4.999971","4.999979","4.999973","4.999978"
""," 122.2140789e-10","4.999966","9.999903e-09","4.999949","4.999961","4.999951","4.999959"
""," 123.1917945e-10","4.999956","9.999903e-09","4.999938","4.999951","4.999939","4.999949"
""," 124.1695013e-10","4.999953","9.999903e-09","4.999936","4.999948","4.999938","4.999946"
""," 125.1472170e-10","4.999958","9.999903e-09","4.999944","4.999954","4.999946","4.999952"
""," 126.1249327e-10","4.999967","9.999903e-09","4.999959","4.999964","4.999959","4.999963"
""," 127.1026395e-10","4.999979","9.999903e-09","4.999977","4.999979","4.999978","4.999978"
""," 128.0803552e-10","4.999992","9.999903e-09","4.999996","4.999993","4.999995","4.999993"
""," 129.0580709e-10","5.000003","9.999903e-09","5.000011","5.000006","5.00001","5.000007"
""," 130.0357777e-10","5.000012","9.999903e-09","5.000022","5.000015","5.000021","5.000016"
""," 131.0134934e-10","5.000016","9.999903e-09","5.000027","5.00002","5.000025","5.000021"
""," 131.9912091e-10","5.000017","9.999903e-09","5.000026","5.00002","5.000025","5.000021"
""," 132.9689159e-10","5.000013","9.999903e-09","5.00002","5.000016","5.00002","5.000016"
""," 133.9466316e-10","5.000008","9.999903e-09","5.000011","5.00001","5.000011","5.00001"
""," 134.9243473e-10","5.000001","9.999903e-09","5.000001","5.000002","5.000002","5.000002"
""," 135.9020541e-10","4.999995","9.999903e-09","4.999992","4.999994","4.999992","4.999994"
""," 136.8797697e-10","4.99999","9.999903e-09","4.999985","4.999988","4.999985","4.999988"
""," 137.8574854e-10","4.999986","9.999903e-09","4.99998","4.999984","4.999981","4.999984"
""," 138.8351922e-10","4.999985","9.999903e-09","4.999979","4.999983","4.999979","4.999982"
""," 139.8129079e-10","4.999985","9.999903e-09","4.999981","4.999984","4.999981","4.999983"
""," 140.7906236e-10","4.999988","9.999903e-09","4.999985","4.999987","4.999985","4.999987"
""," 141.7683304e-10","4.999992","9.999903e-09","4.99999","4.999991","4.99999","4.999991"
""," 142.7460461e-10","4.999996","9.999903e-09","4.999996","4.999996","4.999996","4.999996"
""," 143.7237618e-10","5","9.999903e-09","5.000001","5","5.000001","5"
""," 144.7014686e-10","5.000003","9.999903e-09","5.000006","5.000003","5.000005","5.000004"
""," 145.6791843e-10","5.000005","9.999903e-09","5.000008","5.000006","5.000008","5.000006"
""," 146.6569000e-10","5.000005","9.999903e-09","5.000008","5.000006","5.000008","5.000006"
""," 147.6346068e-10","5.000005","9.999903e-09","5.000007","5.000005","5.000007","5.000006"
""," 148.6123224e-10","5.000003","9.999903e-09","5.000005","5.000004","5.000005","5.000004"
""," 149.5900293e-10","5.000001","9.999903e-09","5.000002","5.000001","5.000002","5.000002"
""," 150.5677538e-10","5","9.999903e-09","4.999999","5","4.999999","5"
""," 151.5454606e-10","4.999998","9.999903e-09","4.999997","4.999998","4.999997","4.999998"
""," 152.5231674e-10","4.999997","9.999903e-09","4.999995","4.999997","4.999996","4.999996"
""," 153.5008920e-10","4.999996","9.999903e-09","4.999995","4.999996","4.999995","4.999996"
""," 154.4785988e-10","4.999997","9.999903e-09","4.999995","4.999996","4.999995","4.999996"
""," 155.4563056e-10","4.999997","9.999903e-09","4.999996","4.999997","4.999996","4.999997"
""," 156.4340302e-10","4.999998","9.999903e-09","4.999998","4.999998","4.999998","4.999998"
""," 157.4117370e-10","5","9.999903e-09","5","5","5","5"
""," 158.3894438e-10","5.000001","9.999903e-09","5.000001","5.000001","5.000001","5.000001"
""," 159.3671684e-10","5.000002","9.999903e-09","5.000003","5.000002","5.000003","5.000002"
""," 160.3448752e-10","5.000003","9.999903e-09","5.000004","5.000003","5.000004","5.000003"
""," 161.3225820e-10","5.000003","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 162.3003065e-10","5.000003","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 163.2780133e-10","5.000003","9.999903e-09","5.000004","5.000003","5.000004","5.000003"
""," 164.2557201e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 165.2334447e-10","5.000002","9.999903e-09","5.000002","5.000002","5.000002","5.000002"
""," 166.2111515e-10","5.000002","9.999903e-09","5.000001","5.000002","5.000001","5.000002"
""," 167.1888583e-10","5.000001","9.999903e-09","5.000001","5.000001","5.000001","5.000001"
""," 168.1665651e-10","5.000001","9.999903e-09","5.000001","5.000001","5.000001","5.000001"
""," 169.1442897e-10","5.000001","9.999903e-09","5.000001","5.000001","5.000001","5.000001"
""," 170.1219965e-10","5.000002","9.999903e-09","5.000001","5.000001","5.000001","5.000001"
""," 171.0997033e-10","5.000002","9.999903e-09","5.000002","5.000002","5.000002","5.000002"
""," 172.0774279e-10","5.000002","9.999903e-09","5.000002","5.000002","5.000002","5.000002"
""," 173.0551347e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 174.0328415e-10","5.000003","9.999903e-09","5.000004","5.000003","5.000004","5.000003"
